participant_id,Condition,Illusion_Type,Block,Trial,Stimulus,ISI,FixationCross_Left,FixationCross_Top,Answer,Error,Illusion_Strength,Illusion_Difference,Illusion_Effect,Illusion_Side
sub-002,Baseline,Ebbinghaus,1,1.0,Ebbinghaus_-1.0000_1.40000,546.0,-40.0,-22.0,left,1,-1.0,1.4,Congruent,1.0
sub-002,Baseline,Ebbinghaus,1,2.0,Ebbinghaus_1.00000_1.40000,687.0,-5.0,3.0,left,1,1.0,1.4,Incongruent,1.0
sub-002,Baseline,Ebbinghaus,1,3.0,Ebbinghaus_-0.1500_1.40000,765.0,-18.0,-4.0,left,1,-0.15,1.4,Congruent,1.0
sub-002,Baseline,Ebbinghaus,1,4.0,Ebbinghaus_-1.0000_-1.4000,760.0,-38.0,-9.0,right,1,-1.0,1.4,Congruent,-1.0
sub-002,Baseline,Ebbinghaus,1,5.0,Ebbinghaus_0.15000_1.40000,890.0,19.0,-13.0,left,1,0.15,1.4,Incongruent,1.0
sub-002,Baseline,Ebbinghaus,1,6.0,Ebbinghaus_-0.1500_-1.4000,533.0,33.0,-5.0,right,1,-0.15,1.4,Congruent,-1.0
sub-002,Baseline,Ebbinghaus,1,7.0,Ebbinghaus_0.15000_-1.4000,924.0,6.0,21.0,right,1,0.15,1.4,Incongruent,-1.0
sub-002,Baseline,Ebbinghaus,1,8.0,Ebbinghaus_1.00000_-1.4000,683.0,17.0,1.0,right,1,1.0,1.4,Incongruent,-1.0
sub-002,Baseline,MullerLyer,1,9.0,MullerLyer_3.00000_-0.7000,831.0,-3.0,7.0,down,1,3.0,0.7,Incongruent,-1.0
sub-002,Baseline,MullerLyer,1,10.0,MullerLyer_-23.000_0.70000,658.0,-20.0,34.0,up,1,-23.0,0.7,Congruent,1.0
sub-002,Baseline,MullerLyer,1,11.0,MullerLyer_-3.0000_-0.7000,817.0,22.0,24.0,down,1,-3.0,0.7,Congruent,-1.0
sub-002,Baseline,MullerLyer,1,12.0,MullerLyer_-3.0000_0.70000,509.0,5.0,-2.0,up,1,-3.0,0.7,Congruent,1.0
sub-002,Baseline,MullerLyer,1,13.0,MullerLyer_23.0000_0.70000,810.0,-8.0,-44.0,up,1,23.0,0.7,Incongruent,1.0
sub-002,Baseline,MullerLyer,1,14.0,MullerLyer_-23.000_-0.7000,651.0,-33.0,27.0,down,1,-23.0,0.7,Congruent,-1.0
sub-002,Baseline,MullerLyer,1,15.0,MullerLyer_23.0000_-0.7000,705.0,1.0,21.0,down,1,23.0,0.7,Incongruent,-1.0
sub-002,Baseline,MullerLyer,1,16.0,MullerLyer_3.00000_0.70000,860.0,-13.0,5.0,up,1,3.0,0.7,Incongruent,1.0
sub-002,Baseline,VerticalHorizontal,1,17.0,VerticalHorizontal_4.50000_-0.9000,569.0,0.0,15.0,right,1,4.5,0.9,Incongruent,-1.0
sub-002,Baseline,VerticalHorizontal,1,18.0,VerticalHorizontal_-4.5000_-0.9000,981.0,31.0,12.0,right,1,-4.5,0.9,Congruent,-1.0
sub-002,Baseline,VerticalHorizontal,1,19.0,VerticalHorizontal_33.0000_0.90000,708.0,24.0,-12.0,left,1,33.0,0.9,Incongruent,1.0
sub-002,Baseline,VerticalHorizontal,1,20.0,VerticalHorizontal_33.0000_-0.9000,651.0,3.0,-10.0,right,1,33.0,0.9,Incongruent,-1.0
sub-002,Baseline,VerticalHorizontal,1,21.0,VerticalHorizontal_-33.000_0.90000,793.0,37.0,2.0,left,1,-33.0,0.9,Congruent,1.0
sub-002,Baseline,VerticalHorizontal,1,22.0,VerticalHorizontal_-33.000_-0.9000,560.0,4.0,7.0,right,1,-33.0,0.9,Congruent,-1.0
sub-002,Baseline,VerticalHorizontal,1,23.0,VerticalHorizontal_4.50000_0.90000,845.0,25.0,-23.0,left,1,4.5,0.9,Incongruent,1.0
sub-002,Baseline,VerticalHorizontal,1,24.0,VerticalHorizontal_-4.5000_0.90000,776.0,-10.0,5.0,right,0,-4.5,0.9,Congruent,1.0
sub-002,Baseline,MullerLyer,1,25.0,MullerLyer_9.00000_0.08716,580.0,-24.0,2.0,down,0,9.0,0.08716,Incongruent,1.0
sub-002,Baseline,MullerLyer,1,26.0,MullerLyer_27.0000_0.45000,785.0,-3.0,-13.0,up,1,27.0,0.45,Incongruent,1.0
